"","datahora","lon","lat","sst_boia"
"1",2018-01-03 13:00:00,-25.256,-26.915,24.3
"2",2018-01-03 17:00:00,-25.162,-26.99,24.5
"3",2018-01-03 18:00:00,-25.123,-27.004,24.5
"4",2018-01-03 19:00:00,-25.123,-27.004,24.5
"5",2018-01-03 21:00:00,-25.109,-27.009,24.4
"6",2018-01-03 22:00:00,-25.109,-27.009,24.3
"7",2018-01-03 23:00:00,-25.054,-27.018,24.3
"8",2018-01-04 00:00:00,-25.046,-27.013,24.3
"9",2018-01-04 04:00:00,-25.047,-27.016,24.2
"10",2018-01-04 05:00:00,-25.027,-27.01,24.2
"11",2018-01-04 07:00:00,-25.035,-27.011,24.2
"12",2018-01-04 08:00:00,-24.999,-27.023,24.2
"13",2018-01-04 09:00:00,-24.999,-27.023,24.2
"14",2018-01-04 10:00:00,-25.033,-27.06,24.2
"15",2018-01-04 11:00:00,-25.034,-27.077,24.3
"16",2018-01-04 15:00:00,-24.978,-27.166,24.6
"17",2018-01-04 16:00:00,-24.978,-27.166,24.6
"18",2018-01-04 17:00:00,-24.973,-27.161,24.6
"19",2018-01-04 18:00:00,-24.94,-27.176,24.6
"20",2018-01-04 19:00:00,-24.924,-27.181,24.5
"21",2018-01-04 20:00:00,-24.914,-27.187,24.5
"22",2018-01-04 21:00:00,-24.891,-27.194,24.5
"23",2018-01-04 22:00:00,-24.872,-27.202,24.4
"24",2018-01-04 23:00:00,-24.868,-27.203,24.4
"25",2018-01-05 00:00:00,-24.856,-27.212,24.3
"26",2018-01-05 02:00:00,-24.856,-27.212,24.2
"27",2018-01-05 03:00:00,-24.822,-27.221,24.1
"28",2018-01-05 05:00:00,-24.822,-27.221,24
"29",2018-01-05 06:00:00,-24.814,-27.228,24
"30",2018-01-05 07:00:00,-24.803,-27.234,24
"31",2018-01-05 08:00:00,-24.803,-27.234,24
"32",2018-01-05 09:00:00,-24.815,-27.248,24
"33",2018-01-05 10:00:00,-24.804,-27.242,24.2
"34",2018-01-05 11:00:00,-24.817,-27.246,24.4
"35",2018-01-05 15:00:00,-24.79,-27.328,25.5
"36",2018-01-05 16:00:00,-24.79,-27.328,26
"37",2018-01-05 17:00:00,-24.791,-27.331,26.1
"38",2018-01-05 18:00:00,-24.782,-27.357,26.3
"39",2018-01-05 20:00:00,-24.77,-27.359,25.7
"40",2018-01-05 21:00:00,-24.747,-27.383,25.4
"41",2018-01-05 22:00:00,-24.731,-27.374,25.2
"42",2018-01-05 23:00:00,-24.727,-27.394,25.1
"43",2018-01-06 02:00:00,-24.701,-27.402,25
"44",2018-01-06 03:00:00,-24.701,-27.402,24.9
"45",2018-01-06 05:00:00,-24.701,-27.402,24.8
"46",2018-01-06 07:00:00,-24.706,-27.394,24.7
"47",2018-01-06 08:00:00,-24.706,-27.394,24.6
"48",2018-01-06 10:00:00,-24.731,-27.398,24.8
"49",2018-01-06 11:00:00,-24.758,-27.414,24.8
